pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
59.3375,-66.5,180.0,top,C1,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uF/10V(20%),smt
70.7375,-66.7,0.0,top,C2,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uF/10V(20%),smt
68.0,-69.2,180.0,top,D1,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,RED LED,smt
57.7,-61.7,90.0,top,D2,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,WHITE LED,smt
72.6,-61.475,90.0,top,D3,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,WHITE LED,smt
69.7,-71.4,0.0,top,D4,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,WHITE LED,smt
60.575,-71.3,180.0,top,D5,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,WHITE LED,smt
57.7,-57.25,-90.0,top,D6,,D_SOD-123,D_SOD-123,1N4148W SOD-123 SMD 100V 2A (A2),smt
72.5,-57.05,90.0,top,D7,,D_SOD-123,D_SOD-123,1N4148W SOD-123 SMD 100V 2A (A2),smt
72.8,-73.65,90.0,top,D8,,D_SOD-123,D_SOD-123,1N4148W SOD-123 SMD 100V 2A (A2),smt
57.4,-74.05,-90.0,top,D9,,D_SOD-123,D_SOD-123,1N4148W SOD-123 SMD 100V 2A (A2),smt
61.9,-57.5,0.0,top,J1,,,Hirose_DF13-06P-1.25DSA_1x06_P1.25mm_Vertical,Conn_01x06_Socket,tht
54.6,-58.55,90.0,top,J2,,,Hirose_DF13-02P-1.25DSA_1x02_P1.25mm_Vertical,Conn_01x02_Socket,tht
75.6,-57.4,-90.0,top,J3,,,Hirose_DF13-02P-1.25DSA_1x02_P1.25mm_Vertical,Conn_01x02_Socket,tht
75.7,-71.775,-90.0,top,J4,,,Hirose_DF13-02P-1.25DSA_1x02_P1.25mm_Vertical,Conn_01x02_Socket,tht
54.4,-72.925,90.0,top,J5,,,Hirose_DF13-02P-1.25DSA_1x02_P1.25mm_Vertical,Conn_01x02_Socket,tht
53.3375,-62.55,180.0,top,Q1,,SOT-23,SOT-23,Si2300DS,smt
76.4625,-62.6,0.0,top,Q2,,SOT-23,SOT-23,Si2300DS,smt
76.4625,-67.9,0.0,top,Q3,,SOT-23,SOT-23,Si2300DS,smt
53.3375,-67.85,180.0,top,Q4,,SOT-23,SOT-23,Si2300DS,smt
64.0,-69.3,0.0,top,R1,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K(1%),smt
59.9,-61.7,90.0,top,R2,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K(1%),smt
70.3,-61.5,90.0,top,R3,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K(1%),smt
72.0,-69.2,180.0,top,R4,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K(1%),smt
58.2,-69.2,180.0,top,R5,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K(1%),smt
65.1,-63.75,90.0,top,U1,,SOT-223-3_TabPin2,SOT-223-3_TabPin2,AMS1117-3.3,smt
