pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
59.2575,-66.08,180.0,top,C1,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uF/10V(20%),smt
70.6575,-66.28,0.0,top,C2,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uF/10V(20%),smt
67.92,-68.78,180.0,top,D1,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,RED LED,smt
58.15,-62.005,90.0,top,D2,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,WHITE LED,smt
71.75,-62.035,90.0,top,D3,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,WHITE LED,smt
70.155,-70.97,0.0,top,D4,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,WHITE LED,smt
62.375,-70.96,180.0,top,D5,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,WHITE LED,smt
58.9375,-58.94,180.0,top,D6,,D_SOD-123,D_SOD-123,1N4148W SOD-123 SMD 100V 2A (A2),smt
71.11,-58.96,0.0,top,D7,,D_SOD-123,D_SOD-123,1N4148W SOD-123 SMD 100V 2A (A2),smt
71.69,-74.36,90.0,top,D8,,D_SOD-123,D_SOD-123,1N4148W SOD-123 SMD 100V 2A (A2),smt
58.57,-73.54,-90.0,top,D9,,D_SOD-123,D_SOD-123,1N4148W SOD-123 SMD 100V 2A (A2),smt
59.96,-54.44,0.0,top,J1,,,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,Conn_01x06_Socket,tht
53.15,-57.52,90.0,top,J2,,,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,Conn_01x02_Socket,tht
76.89,-55.57,-90.0,top,J3,,,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,Conn_01x02_Socket,tht
77.0,-72.48,-90.0,top,J4,,,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,Conn_01x02_Socket,tht
53.11,-74.44,90.0,top,J5,,,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,Conn_01x02_Socket,tht
53.2575,-62.13,180.0,top,Q1,,SOT-23,SOT-23,Si2300DS,smt
76.2525,-62.21,0.0,top,Q2,,SOT-23,SOT-23,Si2300DS,smt
76.3825,-67.51,0.0,top,Q3,,SOT-23,SOT-23,Si2300DS,smt
53.2575,-67.43,180.0,top,Q4,,SOT-23,SOT-23,Si2300DS,smt
63.92,-68.88,0.0,top,R1,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K(1%),smt
60.31,-62.02,90.0,top,R2,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K(1%),smt
69.71,-62.05,90.0,top,R3,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K(1%),smt
71.92,-68.78,180.0,top,R4,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K(1%),smt
58.12,-68.78,180.0,top,R5,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K(1%),smt
65.02,-63.33,90.0,top,U1,,SOT-223-3_TabPin2,SOT-223-3_TabPin2,AMS1117-3.3,smt
